date,cars,filename
2024-05-17-09-06-52,1,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-09-06-52.jpg
2024-05-17-09-10-04,1,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-09-10-04.jpg
2024-05-17-09-15-03,1,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-09-15-03.jpg
2024-05-17-09-20-04,1,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-09-20-04.jpg
2024-05-17-09-25-06,2,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-09-25-06.jpg
2024-05-17-09-30-02,2,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-09-30-02.jpg
2024-05-17-09-40-03,1,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-09-40-03.jpg
2024-05-17-09-50-02,2,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-09-50-02.jpg
2024-05-17-10-00-03,0,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-10-00-03.jpg
2024-05-17-10-10-03,1,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-10-10-03.jpg
2024-05-17-10-20-03,1,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-10-20-03.jpg
2024-05-17-10-30-03,1,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-10-30-03.jpg
2024-05-17-10-40-03,1,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-10-40-03.jpg
2024-05-17-10-50-03,1,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-10-50-03.jpg
2024-05-17-11-30-03,1,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-11-30-03.jpg
2024-05-17-11-40-03,1,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-11-40-03.jpg
2024-05-17-11-50-02,0,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-11-50-02.jpg
2024-05-17-12-00-05,0,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-12-00-05.jpg
2024-05-17-12-10-03,1,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-12-10-03.jpg
2024-05-17-12-20-03,1,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-12-20-03.jpg
2024-05-17-12-30-02,5,/home/mb/Documents/Insubria/Lesson 12/images/2024-05-17-12-30-02.jpg
